"자치구(1)",자치구(2),2023,2023,2023,2023,2023
"자치구(1)",자치구(2),시설합계 (개소),노인복지관,노인복지관,경로당 (개소),노인교실 (개소)
"자치구(1)",자치구(2),소계,시설수 (개소),종사자수 (명),소계,소계
"서울시",소계,4051,91,2680,3609,351
"서울시",종로구,77,3,169,64,10
"서울시",중구,55,2,71,50,3
"서울시",용산구,114,2,84,92,20
"서울시",성동구,183,6,110,164,13
"서울시",광진구,107,2,69,97,8
"서울시",동대문구,155,1,114,138,16
"서울시",중랑구,149,5,128,133,11
"서울시",성북구,196,6,112,183,7
"서울시",강북구,121,1,36,102,18
"서울시",도봉구,151,5,102,137,9
"서울시",노원구,275,4,145,256,15
"서울시",은평구,188,7,185,163,18
"서울시",서대문구,131,4,57,119,8
"서울시",마포구,176,4,75,158,14
"서울시",양천구,193,4,120,170,19
"서울시",강서구,250,5,67,220,25
"서울시",구로구,229,2,86,208,19
"서울시",금천구,88,4,181,77,7
"서울시",영등포구,207,3,86,180,24
"서울시",동작구,163,3,62,147,13
"서울시",관악구,133,1,83,115,17
"서울시",서초구,152,5,157,141,6
"서울시",강남구,203,6,101,176,21
"서울시",송파구,202,3,131,180,19
"서울시",강동구,153,3,149,139,11
